TotalHouseArea,TotalBathrooms,HouseAge,RemodelAge,TotalPorchSF
2283,1.5,41,41,0
2266,2.5,58,56,0
2116,1.5,32,32,252
2480,2.0,1,1,233
2540,1.5,67,23,0
2262,2.5,70,17,457
2192,2.0,37,37,272
1696,2.0,2,2,140
1980,1.0,13,13,64
2516,2.5,37,4,271
2080,2.5,47,47,220
2918,2.0,5,5,231
2502,2.0,42,42,116
2189,2.5,11,10,359
1932,2.0,18,18,120
1638,1.5,37,37,216
3035,2.5,4,3,210
2679,2.0,2,2,40
2494,2.5,1,1,84
1040,2.0,59,59,0
1852,3.5,9,8,48
2875,2.0,83,58,470
2064,2.5,41,8,64
1872,2.0,54,10,240
2628,2.0,1,1,22
2039,1.5,93,1,251
2162,1.5,21,21,211
1996,1.0,73,59,0
2872,2.0,31,31,0
728,1.0,89,59,0
1900,1.0,36,36,0
2144,1.0,47,5,16
1849,1.5,47,47,192
1932,2.5,37,37,0
4085,3.5,16,15,218
2352,3.0,17,16,244
2889,2.5,0,0,100
2614,2.5,7,7,148
3672,3.0,5,4,310
2431,3.5,13,12,308
2767,2.5,32,32,69
1632,2.0,49,49,0
2016,2.0,54,1,18
1666,1.0,52,6,0
3468,3.0,0,0,0
1827,3.5,7,7,120
1788,2.0,41,5,0
2134,1.5,50,21,314
2080,1.0,47,47,392
2024,1.0,87,57,134
3104,2.0,1,0,164
1632,1.0,53,53,224
1396,1.5,62,1,200
1866,2.5,15,15,125
2010,1.0,54,54,0
2928,2.0,2,2,163
3060,3.0,3,3,180
2806,2.5,3,2,148
1872,2.0,27,27,49
3103,3.0,81,59,475
1948,1.0,16,15,28
3218,2.0,127,57,48
3148,2.5,14,14,155
2516,2.5,10,10,138
1946,1.0,81,57,128
2284,1.0,58,58,96
1800,1.0,135,14,176
3134,3.0,32,32,296
2082,1.0,87,57,342
1904,2.0,57,57,0
2648,3.5,33,33,544
4294,4.0,1,0,269
2012,1.0,49,49,24
1596,2.0,69,60,0
2618,1.0,78,56,0
2596,3.0,21,21,191
2268,1.5,68,59,0
1683,1.0,82,58,176
2132,1.5,89,21,0
1864,1.0,57,57,214
2932,1.5,47,47,240
2884,1.0,50,2,280
1632,1.0,78,1,96
2684,2.0,43,20,417
2874,3.0,31,3,201
2484,2.5,43,9,188
2628,3.0,2,1,234
3160,2.0,1,0,24
2777,2.5,34,34,69
2311,2.5,32,32,26
2936,2.0,54,2,324
1788,1.0,39,39,0
2456,3.0,39,39,120
2792,2.5,29,29,348
3004,2.0,0,0,114
3388,2.0,2,2,193
2630,3.5,6,6,38
3235,2.0,73,22,90
5557,4.5,11,10,437
2214,2.0,31,31,203
2522,2.0,50,50,288
1875,2.5,2,1,54
4205,3.0,61,13,122
3297,2.5,74,56,0
4555,2.5,15,7,33
1799,2.0,24,23,362
2042,1.0,83,5,116
2074,1.5,88,59,294
1124,1.0,52,52,226
3730,2.5,16,15,0
3252,3.5,0,0,368
6872,4.5,11,11,249
2250,2.0,86,56,229
3144,2.5,44,44,526
2005,2.0,82,56,236
2677,3.0,109,39,74
3248,3.0,12,11,306
2491,2.5,7,7,212
2798,2.5,11,11,200
2871,2.0,46,32,439
2217,2.5,8,7,206
2174,1.0,82,13,84
2448,3.0,10,10,304
2015,1.5,41,41,415
2184,2.5,3,3,124
2742,2.5,0,0,117
2505,1.0,90,56,330
2424,2.0,8,8,356
2433,1.5,43,27,82
1728,1.0,36,36,0
2645,2.5,11,11,234
2232,2.0,84,12,208
3260,2.0,9,8,308
2130,2.5,31,31,88
4354,2.0,19,18,154
2112,2.0,40,40,42
3382,3.0,3,3,215
2214,2.0,46,28,0
3320,3.0,0,0,372
2900,2.5,18,18,739
2311,2.0,22,5,337
1344,2.0,68,59,113
1608,1.5,41,5,88
1924,2.0,44,44,222
1788,1.0,41,41,0
1902,2.0,32,32,0
2614,3.0,0,0,247
912,1.0,59,56,0
1890,1.5,35,35,201
1824,1.0,42,42,0
2163,1.0,40,40,63
2886,2.0,58,57,0
4272,2.0,55,55,30
2278,3.5,4,3,175
1726,1.5,49,49,224
2827,2.5,1,1,118
1824,2.0,43,0,240
3404,2.5,0,0,296
2582,2.0,48,48,0
3981,3.0,30,30,324
2296,2.0,44,44,18
1224,2.0,45,45,0
2376,2.0,51,51,0
2904,1.5,97,58,192
2531,1.5,92,56,243
2390,2.5,7,7,27
2795,2.5,2,1,148
2282,1.5,1,1,0
2960,2.0,1,1,153
2652,3.5,5,5,63
3378,2.0,0,0,56
2226,3.0,36,36,120
4152,3.5,0,0,445
2309,1.0,77,56,0
2453,3.5,23,4,527
2309,2.5,1,0,45
2046,2.0,34,34,0
2793,1.5,91,58,259
1864,1.0,57,57,80
4220,3.5,42,42,0
2810,2.0,3,3,184
1738,2.0,41,41,33
3359,3.5,33,4,267
2402,2.5,5,4,306
2251,1.0,76,57,120
3973,3.0,14,14,298
1728,1.0,87,59,96
2022,3.0,3,3,212
2108,2.5,39,39,260
2516,2.5,10,10,103
2100,1.0,53,53,0
2892,2.0,52,20,120
2588,1.0,88,57,126
2742,3.0,10,9,212
2143,3.5,7,7,34
2814,1.5,97,57,264
4020,2.0,2,1,220
4175,3.5,73,11,326
2398,1.5,49,49,0
2856,2.5,31,31,268
2978,2.0,41,41,0
1870,2.0,41,41,180
2376,2.0,49,2,163
1911,2.0,97,4,323
2848,2.0,59,57,0
2118,2.0,37,37,410
3404,2.5,42,33,0
3159,3.5,6,6,211
1826,1.0,90,60,194
3146,3.0,7,7,72
2648,3.0,16,16,148
2080,2.0,32,1,288
2736,3.0,39,39,128
3251,2.0,91,20,430
2192,1.0,70,59,45
2656,2.5,47,47,26
3206,2.5,42,42,366
3160,3.0,9,9,271
3055,2.5,0,0,251
2304,2.0,46,46,227
1932,2.5,37,37,185
3366,2.0,117,44,287
2496,2.5,30,30,287
1728,2.0,51,16,0
2104,2.5,38,38,356
2248,3.0,45,45,335
1619,3.0,1,0,44
11752,4.5,0,0,506
2492,2.5,51,16,218
2961,2.5,10,10,0
2265,1.0,67,59,224
3691,3.5,12,12,387
3232,2.0,1,1,267
2684,2.0,2,2,40
3304,3.0,3,2,506
2736,2.0,1,0,167
1980,2.0,15,14,64
2046,2.0,60,3,36
2572,3.0,17,17,163
3804,3.0,51,8,369
2548,3.0,2,0,362
4263,2.5,17,17,500
3992,2.5,11,11,698
1896,2.0,53,53,36
3064,2.5,39,39,280
3252,3.0,1,1,214
2704,2.0,1,0,241
3540,2.0,5,4,348
1812,1.0,53,53,0
2956,2.5,52,52,330
720,1.0,59,58,0
2673,3.5,18,18,279
1128,1.0,69,59,164
3590,2.0,1,0,49
1592,1.0,86,58,100
1318,1.0,76,1,286
1632,1.5,26,0,0
4302,2.0,88,58,1027
2567,2.5,8,8,28
3176,2.0,1,1,189
1865,1.0,30,30,0
1632,2.0,71,51,0
2163,1.5,68,11,255
2130,1.5,39,39,36
2684,2.5,32,32,16
3312,2.0,35,35,211
1386,1.0,65,56,20
2777,3.5,4,4,237
1728,1.0,34,34,0
1730,1.0,36,36,0
2228,2.0,5,4,78
3453,2.5,5,5,279
2809,1.5,81,59,0
2184,2.5,1,1,0
1920,1.0,87,57,168
3724,2.0,38,3,370
3508,3.0,1,0,0
2976,3.0,9,9,427
2837,2.0,136,21,74
3882,4.5,40,40,0
2574,1.5,46,46,204
1874,1.0,72,9,210
5271,3.5,15,14,369
2857,3.5,8,8,184
2490,3.0,38,14,98
1756,1.0,42,42,0
2156,2.5,39,2,0
2329,2.5,10,10,32
3960,3.0,2,1,239
3213,3.5,87,10,484
3060,3.0,4,4,204
2453,2.0,89,2,55
2028,2.5,1,0,36
1720,2.5,1,1,166
2488,3.5,10,10,96
2663,3.5,9,9,88
2232,2.0,29,29,130
1696,2.0,6,5,140
3325,3.0,7,7,262
2214,1.0,89,59,198
2653,2.0,53,12,206
3205,3.5,8,8,423
5266,3.5,6,5,454
2984,2.5,3,3,364
3142,2.0,0,0,136
1558,1.0,78,58,141
2588,2.0,68,49,68
1470,1.5,33,33,72
1778,2.5,2,1,100
1728,2.0,96,60,96
3322,2.5,38,38,42
2358,2.5,86,56,257
2232,2.0,89,0,112
1818,1.0,70,59,0
1950,2.0,88,3,96
4176,4.5,28,28,552
3240,2.0,91,57,103
3492,3.0,3,2,240
1953,1.5,66,57,0
3050,3.0,6,6,255
3168,2.0,42,42,152
1764,2.0,39,39,319
2394,2.0,103,8,237
2856,3.0,0,0,181
3576,2.5,2,1,183
2434,2.0,62,60,50
2452,1.5,87,3,174
3112,2.5,59,27,168
2584,2.5,84,19,163
2020,1.0,79,58,112
2432,3.5,4,4,175
2580,2.0,0,0,223
2949,3.0,0,0,328
1886,1.0,91,56,376
3240,3.5,4,3,336
1536,2.0,37,2,58
1666,2.0,24,24,0
1985,1.0,100,60,168
2884,2.5,22,17,427
2784,3.5,8,8,45
2524,1.5,59,4,0
1040,2.0,60,59,0
3688,3.0,4,3,209
2681,1.5,85,8,220
2955,2.5,2,2,163
3067,2.0,125,60,114
3734,3.5,11,11,126
2288,2.5,45,45,88
3688,3.0,37,37,289
2124,2.5,38,38,288
2138,2.0,33,33,220
1696,2.0,5,5,140
2898,2.0,40,40,822
2368,2.0,49,24,344
2504,1.0,49,49,39
3350,3.5,14,14,303
2471,2.5,63,58,0
1592,2.0,70,18,154
2880,2.0,26,26,99
2570,2.5,1,1,140
1916,2.0,33,33,60
1624,2.0,80,0,0
2728,3.5,8,8,0
2252,3.0,29,29,336
2856,2.5,46,3,36
1728,1.0,36,36,0
3864,3.0,0,0,370
2148,2.0,53,14,316
2264,2.5,28,28,304
2759,2.0,86,14,431
1696,2.0,4,4,149
3024,3.5,1,1,220
1904,1.0,93,59,138
2844,2.0,3,3,252
1727,2.0,41,41,252
2376,1.0,48,48,300
3310,3.5,12,11,65
1906,1.5,97,7,192
1260,2.0,36,36,0
2688,3.0,35,35,77
3151,2.0,1,0,36
1619,2.0,1,1,28
2280,1.0,0,0,92
2442,3.0,5,4,113
2600,2.5,8,7,40
3615,3.0,32,22,349
3492,2.0,69,4,60
2156,2.0,60,14,478
2512,2.5,43,43,804
